a,a,a,a
243_245386411,1541862000000000,1404550913,0
243_245386411,1572879600000000,166840948,0
243_245386411,1559833200000000,1664248378,0
243_245386411,1485615600000000,760932238,0
243_245386411,1572879600000000,1884568750,0
243_245386411,1546527600000000,2118829464,0
243_245386411,1405090800000000,1631675519,0
243_245386411,1568991600000000,804982032,0
243_245386411,1511276400000000,67282591,0
243_245386411,1568646000000000,142273642,0
243_245386411,1533135600000000,391823939,0
243_245386411,1365346800000000,405685093,0
243_245386411,1459782000000000,407387019,0
243_245386411,1565362800000000,157084869,0
243_245386411,1473692400000000,1294966332,0
243_245386411,1569769200000000,924635900,0
243_245386411,1519830000000000,1084793455,0
243_245386411,1536850800000000,590486503,0
243_245386411,1546786800000000,1464778159,0
243_245386411,1355151600000000,287476718,0
243_245386411,1492009200000000,2108125957,0
243_245386411,1536678000000000,13005717,0
243_245386411,1568473200000000,1500183343,0
243_245386411,1543503600000000,1502050508,0
243_245386411,1504537200000000,1832571770,0
243_245386411,1403622000000000,2047805101,0
243_245386411,1289833200000000,1412619426,0
243_245386411,1360594800000000,1882145060,0
243_245386411,1454425200000000,1570165812,0
243_245386411,1446735600000000,1300389310,0
243_245386411,1293289200000000,610358919,0
243_245386411,1568041200000000,66853567,0
243_245386411,1567695600000000,1825091071,0
243_245386411,1431702000000000,807570919,0
243_245386411,1402844400000000,47968986,0
243_245386411,1517065200000000,501419057,0
243_245386411,1560265200000000,1842068297,0
243_245386411,1471359600000000,859725750,0
243_245386411,1442415600000000,877788296,0
243_245386411,1569078000000000,1383942363,0
243_245386411,1562425200000000,474210166,0
243_245386411,1545577200000000,738772871,0
243_245386411,1541602800000000,124017533,0
243_245386411,1533999600000000,2090167770,0
243_245386411,1429714800000000,602680284,0
243_245386411,1523804400000000,1849372115,0
243_245386411,1569423600000000,326102242,0
243_245386411,1502118000000000,1343145833,0
243_245386411,1500390000000000,1000119179,0
243_245386411,1492527600000000,1568672342,0
243_245386411,1358434800000000,1978980520,0
243_245386411,1567436400000000,1456299382,0
243_245386411,1510326000000000,541789959,0
243_245386411,1570978800000000,1609269939,0
243_245386411,1570546800000000,411114562,0
243_245386411,1424962800000000,1980976027,0
243_245386411,1493996400000000,1219452728,0
243_245386411,1514473200000000,873224160,0
243_245386411,1569855600000000,319352601,0
243_245386411,1573916400000000,1723014470,0
243_245386411,1313074800000000,1817288263,0
243_245386411,1574175600000000,159080042,0
243_245386411,1514386800000000,83812683,0
243_245386411,1514991600000000,1364765175,0
243_245386411,1559833200000000,2094809200,0
243_245386411,1546527600000000,650482504,0
243_245386411,1377097200000000,668979499,0
243_245386411,1486393200000000,1451700171,0
